interval,hour,da_pred,rt_p50,rt_p90,rt_p10,delta,stability,day_type,net_bin,net_load_fc,日期
45,11,106.38751849315068,95.70751849315067,327.2075184931507,26.30251849315067,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,18175.389999999992,2025-12-16
46,11,106.38751849315068,95.70751849315067,327.2075184931507,26.30251849315067,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,18629.27999999999,2025-12-16
47,11,106.38751849315068,95.70751849315067,327.2075184931507,26.30251849315067,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,16940.48000000001,2025-12-16
48,11,106.38751849315068,95.70751849315067,327.2075184931507,26.30251849315067,-10.680000000000003,VOLATILE,PV_VOLATILE,HIGH,15518.319999999992,2025-12-16
49,12,91.75762260273972,87.05762260273971,329.25762260273973,-11.697377397260269,-4.699999999999999,VOLATILE,PV_VOLATILE,HIGH,13760.919999999991,2025-12-16
50,12,91.75762260273972,87.05762260273971,329.25762260273973,-11.697377397260269,-4.699999999999999,VOLATILE,PV_VOLATILE,HIGH,13289.229999999996,2025-12-16
51,12,91.75762260273972,87.05762260273971,329.25762260273973,-11.697377397260269,-4.699999999999999,VOLATILE,PV_VOLATILE,HIGH,12805.86,2025-12-16
52,12,91.75762260273972,87.05762260273971,329.25762260273973,-11.697377397260269,-4.699999999999999,VOLATILE,PV_VOLATILE,HIGH,13571.620000000003,2025-12-16
53,13,103.44125205479452,115.53125205479452,334.78625205479455,47.46625205479452,12.089999999999996,VOLATILE,PV_VOLATILE,HIGH,14648.86,2025-12-16
54,13,103.44125205479452,115.53125205479452,334.78625205479455,47.46625205479452,12.089999999999996,VOLATILE,PV_VOLATILE,HIGH,15674.68,2025-12-16
55,13,103.44125205479452,115.53125205479452,334.78625205479455,47.46625205479452,12.089999999999996,VOLATILE,PV_VOLATILE,HIGH,16852.050000000003,2025-12-16
56,13,103.44125205479452,115.53125205479452,334.78625205479455,47.46625205479452,12.089999999999996,VOLATILE,PV_VOLATILE,HIGH,17953.159999999996,2025-12-16
